OTTid,Order,Family,Species_genus,LOG5-1 AdultBodyMass kg,LitterSize,LOG.LitterSize,Source
86159,Carnivora,Eupleridae,Galidia_elegans,-0.09151,1,0,PanTHERIA - Jones et al. 2009
3613131,Carnivora,Mephitidae,Conepatus_humboldtii,0.04045,3.49,0.54,PanTHERIA - Jones et al. 2009
492021,Carnivora,Phocidae,Lobodon_carcinophaga,2.35218,0.96,-0.02,PanTHERIA - Jones et al. 2009
539106,Carnivora,Phocidae,Ommatophoca_rossii,2.31859,0.96,-0.02,PanTHERIA - Jones et al. 2009
532115,Carnivora,Procyonidae,Potos_flavus,0.38771,1.11,0.05,PanTHERIA - Jones et al. 2009
42307,Carnivora,Felidae,Puma_concolor,1.73202,2.76,0.44,PanTHERIA - Jones et al. 2009
180381,Carnivora,Otariidae,Arctocephalus_forsteri,2.00539,1,0,PanTHERIA - Jones et al. 2009
556857,Carnivora,Eupleridae,Galidictis_fasciata,-0.25965,1,0,PanTHERIA - Jones et al. 2009
527114,Carnivora,Eupleridae,Eupleres_goudotii,0.44143,1,0,PanTHERIA - Jones et al. 2009
342738,Carnivora,Eupleridae,Fossa_fossana,0.26811,1,0,PanTHERIA - Jones et al. 2009
995905,Carnivora,Eupleridae,Mungotictis_decemlineata,-0.18241,0.99,0,PanTHERIA - Jones et al. 2009
194346,Carnivora,Viverridae,Viverricula_indica,0.46522,3.74,0.57,PanTHERIA - Jones et al. 2009
768514,Carnivora,Eupleridae,Cryptoprocta_ferox,0.97772,2.98,0.47,PanTHERIA - Jones et al. 2009
178247,Carnivora,Mustelidae,Gulo_gulo,1.10696,2.84,0.45,PanTHERIA - Jones et al. 2009
763016,Carnivora,Felidae,Neofelis_nebulosa,1.17450,2.25,0.35,PanTHERIA - Jones et al. 2009
42322,Carnivora,Felidae,Panthera_onca,1.92398,1.96,0.29,PanTHERIA - Jones et al. 2009
42322,Carnivora,Felidae,Panthera_pardius,1.71933,2.14,0.33,PanTHERIA - Jones et al. 2009
42314,Carnivora,Felidae,Panthera_tigris,2.20929,2.6,0.41,PanTHERIA - Jones et al. 2009
10732,Carnivora,Ursidae,Ursus_maritimus,2.57020,1.66,0.22,PanTHERIA - Jones et al. 2009
621176,Carnivora,Canidae,Canis_adustus,1.01672,4.5,0.65,PanTHERIA - Jones et al. 2009
621168,Carnivora,Canidae,Canis_aureus,0.98492,3.74,0.57,PanTHERIA - Jones et al. 2009
247331,Carnivora,Canidae,Canis_latrans,1.07879,5.72,0.76,PanTHERIA - Jones et al. 2009
247341,Carnivora,Canidae,Canis_lupus,1.50183,4.98,0.7,PanTHERIA - Jones et al. 2009
666235,Carnivora,Canidae,Canis_mesomelas,0.91631,3.89,0.59,PanTHERIA - Jones et al. 2009
949693,Carnivora,Otariidae,Callorhinus_ursinus,1.74402,1.04,0.02,PanTHERIA - Jones et al. 2009
750141,Carnivora,Herpestidae,Atilax_paludinosus,0.55632,2,0.3,PanTHERIA - Jones et al. 2009
821960,Carnivora,Canidae,Cerdocyon_thous,0.75904,3.09,0.49,PanTHERIA - Jones et al. 2009
931413,Carnivora,Phocidae,Erignathus_barbatus,2.44716,1,0,PanTHERIA - Jones et al. 2009
45849,Carnivora,Viverridae,Genetta_cristata,0.27027,2.5,0.4,PanTHERIA - Jones et al. 2009
194343,Carnivora,Viverridae,Genetta_genetta,0.24457,2.29,0.36,PanTHERIA - Jones et al. 2009
49904,Carnivora,Viverridae,Genetta_piscivora,0.21697,0.96,-0.02,PanTHERIA - Jones et al. 2009
949686,Carnivora,Otariidae,Eumetopias_jubatus,2.58259,0.96,-0.02,PanTHERIA - Jones et al. 2009
658638,Carnivora,Herpestidae,Galerella_pulverulenta,-0.10160,2.25,0.35,PanTHERIA - Jones et al. 2009
750158,Carnivora,Herpestidae,Galerella_sanguinea,-0.26454,2.5,0.4,PanTHERIA - Jones et al. 2009
3613138,Carnivora,Eupleridae,Galidictis_grandidieri,0.14613,1,0,PanTHERIA - Jones et al. 2009
